no,year,kor_full
157,2002,"초등학교 저학년 정보 통신 기술 교육을 위한코스웨어의 설계 및 구현 ICT 소양교육, 완전습득, 코스웨어 정보 통신 기술 활용의 중요성이 부각되고 이를 위한 소양교육이 초등학교 학년부터 도입되었다 .본 연구는 정보 통신 기술 소양교육의 내용을 분석하고 학습에서의 개인차를 줄일 수 있는 방법을 모색하여 학습프로그램을 설계하고 구현한다. 초등학교 저학년에서 학습할 가장 기본적인 내용을 선정하며 ，코스웨어를 설계함에 있어서 ，학습내용의 완전습득을 위하여 형성평가와 피드백을 이용하는 완전학습 전략을 도입한다. 또한 멀티미디어를 사용하여 학습내용을 다양하게 제시함으로써 학습자의 인지활동을 도울 수 있도록 설계된다 .이를 충실히 반영하여 ，학습자가 자신의 학습 속도와 흥미 및 학습수준에 맞추어 개별화 학습을 할 수 있는 코스웨어로 구현한다."
158,2003,"초등학교 도덕과 웹기반 수행평가 시스템에 관한 연구 초등학교 도덕, 웹기반 수행평가, 웹기반 도덕 초등학교 도덕과 교육에서 수행평가는 인지적 영역뿐만 아니라 정의적 영역이나 행동적 영역의 평가가 조화롭게 이루어져야 한다. 그리고 평가의 객관성이나 신뢰성에 대한 집착보다는 평가내용의 타당성과 과정을 중시하는 평가가 이루어지기 위해서는 가정과 연계가 필요하다 . 본 연구에서는 초등학교 도덕과 수행평가의 특징들을 파악하고 평가유형별로 구분하여 ， 교사 •학생 그리고 학부모가 모두 참여하는 웹기반 초등 도덕과 수행평가 시스템을 구현 적용하였다. 웹기반 도덕과 수행평가시스템의 개발로 학생은 언제 어디서나 수행평가를 실시하고， 평가결과를 봄으로써 자기 자신의 행동에 관심을 가지게 되었고， 학부모는 학생의 평가에 직접 참여함으로써 자녀에 대한 이해의 폭이 넓어지고 가정에서의 생활지도가 용이하게 되었다. 학교와 가정의 연계를 통한 수행평가시스템은 학교에서 학습한 도덕과의 내용이 학교 밖의 실제 생활에서 학생들의 지식과 기능을 적용하는데 많은 도움을 줄것으로 기대된다."
159,2003,"초등학교 수행 평가 지원을 위한 다차원자료 분석 처리 시스템 수행평가, 다차원 자료 분석, 교육평가 최근 교육 평가에서는 수행 평가가 그 중요성을 인정받으며 전면 실시되고 있다 .현장에서의 수행평가는 각 교과별은 물론 교과와 기타 활동이 서로 분절되어 평가되고 있어 평가 결과가 학습자를 종합적으로 분석해 주지 못하고 있다. 본 연구에서는 이와 같은 문제점에 기초하여 한 교과 영역의 평가 결과가 관련 있는 다른 교과 영역의 평가 결과에 영향을 미치는 다차원 처리 도구를 설계하고 구현하였다. 또한， 교과별 자료 데이터베이스를 제공하여 교사의 수행 평가 계획 수립 및 처리를 지원하며， 입력된 정보는 통합 처리되어 상담 자료， 성적 처리 자료 등으로 출력되도록 하였다 .본 시스템은 윈도 기반의 수행 평가 처리 시스템으로 추후 웹 기반 지원 시스템으로의 확장을 고려하여 개발되었다 .본 연구의 시스템은 교사의 수행 평가 업무를 간편화하고 학습자의 성취도와 능력을 다양한 방법으로 평가하여 교육의 수월성을 제고하고， 평가의 투명성으로 인해 공교육의 신뢰성을 확보하는데 기여할 것으로 판단된다."
160,2003,"웹 기반 구성주의 교수-학습 모형을 지원하는 보털 사이트 구축 초등 보털 사이트, 웹기반 구성주의, 구성주의 교수-학습 21세기 정보화 사회에 빠르게 대처해 나가는 학습자를 교육하기 위해서는 학습자 스스로 학습 계획을 세우고 다양한 방법으로 정보를 수집， 검토하여 문제를 해결해 나가는 능력을 기를 수 있는 교육이 이루어져야 한다. 이를 위해 본 연구는 구성주의적 정보 검색 학습 모형을 개발하여 학습 단계에 맞는 내용을 제시하고， 교수자와 학습자가 교수와 학습에 필요한 정보 검색을 원활하게 할 수 있도록 하고자 하였다. 또한 학습자가 자기 주도적으로 학습에 참여함과 동시에 구성원과 상호 작용을 통한 협동 학습을 가능하게 하며， 최신의 다양한 정보를 공유하고 교환할 수 있는 사이트 구현에 목적을 두었다."
161,2003,"교육대학교 컴퓨터교육 교과에서의 웹기반 훈련 시스템의 구축과 효율성 분석 원격교육, 컴퓨터교과교육, 컴퓨터교육 웹기반 훈련의 장점은 융통성이 있는 교육의 전달， 쉬운 강의전달， 등록을 통한 보안, 쉬운 컨텐츠의 갱신이다. 또한 WBT는 강력한 교수적 환경을 제공하고 있다. WBT의 가장 중요한 교수적 장점은 풍부한 멀티미디어 자료를 학습자한테 제공한다는 것이다. 본 논문에서는 교육대학교에서 운영될 컴퓨터교육교과의 교육과정을 제안하고， 제안된 교육과정을 포함하는 컴퓨터교육 교과의 웹기반 훈련시스템을 구현하였다. 제안된 시스템은 학생의 학습부분， 강사의 교수부분 그리고 운영자의 관리부분으로 구성된다. 또한 시스템의 효율성에 관한 여러 가지의 질문에 대한 답을 학생들에게 받아 본 시스템의 효율성과 약점을 보여준다."
162,2003,"웹기반 프로젝트 학습을 지원하는 실시간 화상학습시스템의 설계 및 구현 화상학습, 웹프로젝트학습, 화상통신학습 본 연구에서는 웹기반 프로젝트 학습 활동을 지원하는 실시간 화상학습시스템을 설계 •구현하고 현장에 적용하였다. 또한 실시간 화상학습시스템 활용 수업의 효과를 검증하기 위하여 교실환경검사도구인 WIHIC를 투입하여 학생들의 교실 환경에 대한 인식에 어떠한 변화가 있는가를 조사하고 그 결과를 분석하였다 . 웹기반 프로젝트 학습 활동을 통한 실시간 화상학습시스템의 활용은 교실 환경 8개 영역(학생들의 단결, 교사의 지원, 수업에의 참여， 자율성， 탐구 활동, 과제지향 협동성, 평등) 에서 학생들의 인식 변화에 긍정적인 효과가 있는 것으로 나타났으며, 본 시스템을 통하여 학생들의 자기주도적 학습력 및 ICT 활용 능력 함양, 소집단 협동 학습에서의 토론 활동의 활성화에 도움을 줄 수 있을 것으로 기대된다."
163,2003,"아동의 학교생활 정보 안내 시스템 학부모 교육참여, 학부모 공동체 구축, 학생정보 교류 초등학교에서의 궁극적인 교육 목표는 학생의 학습과 일상생활에 필요한 기초능력의 배양과 바람직한 기본생활습관의 정착에 있으며 이를 효과적으로 지도하기 위해서는 아동에 대해 가장 영향력 있는 부모와의 협력이 절대적으로 필요하다. 본 연구에서는 학부모의 적극적인 교육 참여를 유도하고， 동반자적 협력관계를 구축하기 위한 방안으로， 자녀들의 학교생활을 학부모에게 적극적으로 안내해주기 위한 학교생활정보안내 시스템을 설계 • 구현하고자 한다 학교생활정보안내 시스템은 교사와 학부모 모두에게 아동에 대한 올바른 이해를 돕고， 나아가 당면한 문제 해결을 위한 상호 협력 관계 기반을 조성함으로써 아동의 기본생활습관을 바람직하게 정착시키는데 많은 도움이 될 수 있을 것이다."
164,2003,"웹기반 과정 중심 독서 교육 시스템의 설계 및 구현 웹기반 교육, 독서교육, 과정중심 교육 본 논문에서는 웹기반 독서교육 시스템의 새로운 모델을 제안한다 . 기존의 웹기반 독서교육 시스템은 학습자들의 상호작용 강화 및 독서 흥미를 높이는 데는 효과적이었으나 독서의 결과 지도에만 치중하여 장시간을 요하는 독서 과정에서 웹기반 시스템의 활용도는 극히 미진하였다 .본 논문에서는 독서교육을 읽기 전， 읽는 중, 읽은 후의 활동으로 세분화하고 각 단계에서 활용할 수 있는 웹기반 독서 전략들을 개발하여 교사와 학생， 학부모의 적극적인 상호작용이 이루어지도록 하였으며 전문가 협력학습 ， 문제해결학습 등 국어과의 교수-학습 유형에 따른 전략의 적용 방법을 제시함으로써 정규 교과 시간의 독서 지도가 활성화 되도록 하였다."
165,2003,"교육용 홈페이지 개발을 위한 템플릿 시스템 구현 템플릿, 홈페이지, 저작시스템 본 연구에서는 교사가 교육용 홈페이지를 손쉽게 유지 •보수할 수 있도록 템플릿 시스템을 구현하였다 이것은 회원과 학교 정보를 관리하는 정보 관리 시스템 ，이러한 기본 정보과 ASP로 이루어진 템플릿 파일을 이용하여 인터페이스를 구성하는 템플릿 관리 시스템 ，사용자에게 보여질 메뉴를 손쉽게 추가하고 수정할 수 있는 메뉴 관리 시스템으로 구성되어진다 . 시스템을 운영해본 결과 학교 홈페이지의 활용도를 크게 향상시켰으며， 교사와 학생의 ICT 활용 능력 향상과 교육 정보화에 기여할 것으로 기대된다."
166,2003,"HWPML을 이용한 워드프로세서 실기 채점 시스템 워드프로세서 실기 채점, HWPML, 데이터베이스 본 논문에서는 한글과컴퓨터사에서 지원하는 HWPML(Hangul Word Processor Markup Language) 파일 포맷 형식을 이용하여 워드프로세서 실기 채점 시스템을 설계하고 구현하였다 . HWPML은 한글 파일 형식을 마크업된 태그 구조로 나타낸 것으로 이를 이용하면 다른 응용 프로그램에서도 한글 파일을 편집할 수 있게 된다. 문제 출제는 관리자 또는 사용자 인증 과정을 거친 사용자면 누구나 출제 가능하도록 하였다 .정답 파일 등록은 관리자만 등록할 수 있게 설계하여 채점 결과의 정확성을 유지하도록 하였다 .시스템을 이용하여 채점된 결과는 데이터베이스에 저장되고 문제별 합격 횟수와 불합격 횟수를 구하고 산술적인 합격률을 보여준다. 사용자의 채점 결과는 실시간으로 확인 가능하고 해당 문제의 사용자별 응시 횟수 ，점수 ，채점 결과를 검색할 수 있도록 데이터베이스에 저장하였다. 채점 결과를 바탕으로 관리자 조언을 추가하여 학습자들의 부족한 부분을 보충 학습할 수 있도록 하였다."
167,2003,"초등학생을 위한 웹기반 환경교육 시스템 환경교육, 구성주의, 웹기반 교육 환경문제의 해결을 위해서는 공학, 행정, 법률 등 여러 분야에서의 노력이 필요하지만 가장 근본적인 해결책은 국민 각자가 환경 보전에 대한 실천의지를 갖도록 하는 교육에서 찾아야 한다 .특히 유년기 즉 초등학생 시절부터 환경교육을 통하여 환경 보전 습관을 형성하는 것이 바로 환경을 지키는 최선의 방법이다. 본 논문에서는 초등학교 제7차 교육과정 에 포함된 환경 관련 내용을 추출하여 글쓰기 ，그리기 ，자연의 소리 듣기, 음악 듣기， 보고서 작성, 퀴즈 풀기 등의 다양한 활동을 통하여 환경에 관련된 지식 ，기능을 습득하고 환경을 지키는 생활 습관과 태도를 형성하도록 하는 시스템을 설계하였다 . 특히 최신의 적절한 학습자료를 제공하고 학생들의 창의성과 자율성이 충분히 발휘될 수 있도록 하기 위해 웹 기반 시스템으로 설계하였고, 구성주의 학습원리를 기반으로 학습자가 자기주도적으로 활동함으로써 환경을 지키려는 실천의지를 기르도록 하는 학습 모형을 설계하고 적용하였다.또한 학습실， 환경 자료실， 환경 퀴즈실, 작품 전시실 등을 통하여 다양한 학습 활동과 동기유발을 지원할 수 있도록 하였고 교사는 학생들의 학습 상황을 쉽게 파악하고 평가할 수 있도록 구현하였다. 따라서 본 시스템은 학생들에게 환경과 관련된 지식， 기능， 태도, 참여 등의 환경교육의 목표를 달성하는데 있어서 그 효과가 기대된다."
168,2003,"MathML을 이용한 수학교과 ICT활용 교육 개선방안 MathML, 수식지원 게시판, 수준별 교수-학습자료 웹의 장점을 활용하기 위한 수학교과 교수-학습 자료들은 이미 많이 개발되어 있으나 수학교과 자료에서 사용하는 수식이 대부분 수식 자체가 아닌 그림 형태로 표현되어 있어 수식의 계산이나 검색 ，재사용 등 다양한 활용이 불가능하였다. 이를 극복하기 위하여 수식 표현을 위한 마크업 언어인 MathML이 개발되었다. 본 논문에서는 수학교과 ICT활용 교육에서의 교재 개발 ， 교수-학습 도구 개발， 그리고 정보 교환을 위해 MathML을 활용할 수 있는 방안을 제시한다. 교재 개발에 있어서 MathML을 이용하는 것은 수식의 수정을 편리하게 하고 재사용을 가능하게 한다. 그리고 MathML을 표준으로 사용하는 교수 학습 도구들은 수식과 수학적 개념간의 연결을 강하게 해 주고 ， 교사들이 이와 같은 도구들을 보다 쉽게 재구성하여 수업에 활용할 수 있도록 해 준다.  MathML을 이용한 수식을 사용할 수 있는 게시판은 교사와 학생간의 정보 교환을 활발하게 하고，이를 이용한 「웹토론하기」와 같은 다양한 형태의 ICT활용 수업을 가능하게 한다."
169,2003,"학습자 흥미 지속을 위한 3D-기반 공간 항해 시스템의 구현과 활용 3D, Space Navigation, 학습자 흥미 웹 기반 교육은 하이퍼텍스트의 기술과 인터넷의 전송속도 증가에 따른 다양한 상호작용을 기반으로 원격교육을 가능하게 하는 새로운 학습 환경이다. 즉， 이것은 학습자가 자신의 필요와 요구에 따라 비순차적으로 융통성 있게 정보에 접근하고 자신의 경로를 개발할 수 있는 학습자 중심의 환경을 제공한다. 하지만 이러한 학습 환경은 학습자의 학습경로 선택의 어려움， 방향상실의 위험성, 인지과부하의 문제 등 이전에는 없었던 새로운 문제들을 야기하고 있다. 이러한 문제들은 학습동기와 흥미유지에 방해가 되어 결국 학습효과를 떨어뜨리게 된다. 이 연구는 초등학교 학생들의 학습에 대한 흥미를 지속시키기 위한 방안으로 3D 기반 공간 항해 시스템을 제안하고， 이를 구현 한 다음 그 효과를 검증한다."
175,2003,"초등학생을 위한 웹기반 집단상담시스템 설계 및 구현 웹기반 집단상담시스템, 초등학교 상담, 사이버 상담, 집단 상담 초등학교 학생들에게는 보다 허용적이고 편안한 분위기 속에서 비슷한 문제를 가진 친구들과 집단을 이루어 문제를 해결하는 집단 상담이 학생들의 문제 해결 및 정신적인 성장에 유리하고 ，학급과 같은 집단의 기능을 충분히 활용하면서 상담이 이루어지는 편이 바람직하다 .그러나 ，현재 학교 현장에서는 집단 상담을 할 수 있는 시공간적 여건이 마련되어 있지 않고 집단 상담에 대한 정보가 충분하지 않아 참여하고자 하는 의지는 있으나 그것을 충족시키지 못하고 있었다 .그러므로 상담 자체에 거부감이 있는 학생들도 쉽게 상담에 참여할 수 있고， 시공간적 제약을 극복할 수 있도록 집단 상담과 사이버 상담의 결합된 상담시스템이 필요하다. 이에 본 논문에서는 집단 상담이 잘 이루어지지 않는 원인 ， 문제점들을 찾아 해결하여 학교 현장에서 집단 상담의 효과를 쉽게 누릴 수 있도록 하기 위하여 초등학생을 위한 웹기반 집단 상담 시스템을 구현하고 초등학교 현장에 적용하여 그 결과를 분석하였다 .그 결과 면대면 상담에서 부족했던 부분을 사이버 상담을 통해 보완할 수 있었으며 여러 가지 집단 상담의 장점을 살릴 수 있었다."
178,2003,"제목의 단어 가중치를 이용한 중등학교 공문서 자동분류시스템 중등학교 공문서 분류, 문서제목 단어가중치, 역문헌빈도가중치 현재 일선 학교와 교육기관의 공문서 분류는 아직도 수작업으로 처리되고 있어 많은 시간이 소요된다 이러한 문제점을 해결하기 위해 본 논문은 문서 제목의 단어 정보를 이용한 자동 문서 분류 방법을 제안한다. 먼저 기존 문서의 제목 단어 중에서 의미 있는 단어를 추출하여 각 단어에 대해 범주별로 역문헌 빈도(IDF) 가중치를 계산한 후 단어 가중치 사전을 구축한다 .문서의 분류 요구가 들어오면 구축된 단어 가중치 사전을 이용하여 문서 제목에 포함된 단어들의 범주별 가중치 합을 비교하여 ，범주별 가중치 합이 최대인 범주로 문서를 분류한다. 실제 중등학교에서의 공문서를 대상으로 제안된 방법의 분류 성능을 평가하였다."
184,2003,"상담 분석 정보를 지원하는 XML 기반 사이버 상담 시스템의 설계 및 구현 사이버 상담 시스템, XML 지금까지 사이버 상담에 관한 연구는 주로 청소년들이 사이버상담을 제대로 활용하기 위한 상담방법， 효과에 관한 내용이 주를 이루는 반면， 웹의 특성과 관련기술을 이용하여 상담내용을 저장하고 상담상황을 분석하여 이를 학생지도에 효과적으로 이용하고자 하는 노력이 없었다 .본 연구에서는 학생들의 상담 내용을 분석하여 학생지도에 도움이 되는 다양한 정보를 지원하는 사이버 상담 시스템을 제안한다. 이를 위해 본 연구에서는 XML을 이용하여 구현하였다 . XML기반의 문서는 구조화된 정보를 체계적으로 생성하고 관리할 수가 있으며 ，기존의 파일 형태 정보에 비해 의미적인 정보 단위를 구조화하여 표현하기 때문에 문서의 관리 및 검색 저장에 효과적으로 이용될 수 있다는 특징을 지니고 있다. 따라서， 본 연구는 XML을 이용하여 사이버 상담 시스템을 구현함으로서 여러 다양한 상담 분석 정보를 효과적으로 관리하고 표현할 수 있도록 하고 있다 ."
194,2004,"초등학교 학생들을 위한 사이버 상담 시스템 사이버상담, 비밀상담, 사이버 상담시스템 정보화 사회가 우리에게 가져다준 초고속 정보통신망을 활용하여 기존의 면대면 상담형태를 탈피하여 사이버 상담시스템을 설계하고 적용하였다. 본 사이버 상담시스템의 특징은 통신수단을 매개로하여 상담을 실시하는 형태로, 시․공간을 초월하여 학생들이 가지고 있는 고민을 자유롭게 상담할 수 있으며 내담자를 위한 시스템을 설계함으로써 활발하고 적극적인 상호작용이 이루어지도록 하여, 평소 상담자체에 불신이나 거부감, 또는 막연한 불안을 가지고 있는 내담자들에게 상담에 대한 인식을 새롭게 바꾸어 흥미를 가지고 상담에 적극적으로 참여할 수 있도록 하였다. 인터넷상에 존재하는 많은 사이버 상담실은 이메일을 통해서만 비밀 상담할 수 있도록 설계되어 있어 단회적인 상담으로 끝나는 경우가 많은데, 본 논문은 이미 구축되어 있는 개인 홈페이지가 사용되는 웹 서버를 활용하여 상담자와 내담자만의 비공개 상담 형태를 포함하여 다양한 형태의 상담이 지속적으로 이루어지도록 사이버 상담시스템을 설계하였다."
